scenario_id,language,normalized_character_edit_rate,total_n
S11,Hindi,0.47723935389133626,300
S11,Bengali,0.4616419919246299,300
S11,Tamil,0.2804123711340206,300
S11,Spanish,0.4167794316644114,300
S11,Japanese,0.7138461538461538,300
S11,Arabic,0.6096491228070176,300
S12,Hindi,0.26443768996960487,300
S12,Bengali,0.5282485875706214,300
S12,Tamil,0.2747126436781609,300
S12,Spanish,0.45919778699861685,300
S12,Japanese,0.6374622356495468,300
S12,Arabic,0.75564681724846,300
S13,Hindi,0.4511834319526627,300
S13,Bengali,0.5649072753209701,300
S13,Tamil,0.2395005675368899,300
S13,Spanish,0.5421836228287841,300
S13,Japanese,0.44904458598726116,300
S13,Arabic,0.8007380073800738,300
S14,Hindi,0.32599724896836313,300
S14,Bengali,0.4823815309842041,300
S14,Tamil,0.1912087912087912,300
S14,Spanish,0.5843137254901961,300
S14,Japanese,0.6268656716417911,300
S14,Arabic,0.7581395348837209,300
S15,Hindi,0.43278688524590164,300
S15,Bengali,0.5609756097560976,300
S15,Tamil,0.11837655016910936,300
S15,Spanish,0.556420233463035,300
S15,Japanese,0.6253687315634219,300
S15,Arabic,0.7780678851174935,300
S16,Hindi,0.31345565749235477,300
S16,Bengali,0.5315315315315315,300
S16,Tamil,0.1468459152016546,300
S16,Spanish,0.5249266862170088,300
S16,Japanese,0.4984709480122324,300
S16,Arabic,0.7735849056603774,300
S17,Hindi,0.5526695526695526,300
S17,Bengali,0.5546666666666666,300
S17,Tamil,0.11192468619246862,300
S17,Spanish,0.6326002587322122,300
S17,Japanese,0.607773851590106,300
S17,Arabic,0.7601156069364162,300
S18,Hindi,0.5375,300
S18,Bengali,0.5631720430107527,300
S18,Tamil,0.22857142857142856,300
S18,Spanish,0.6319526627218935,300
S18,Japanese,0.5015479876160991,300
S18,Arabic,0.7342192691029901,300
S19,Hindi,0.32401315789473684,300
S19,Bengali,0.5309859154929577,300
S19,Tamil,0.1021978021978022,300
S19,Spanish,0.5468509984639017,300
S19,Japanese,0.5480427046263345,300
S19,Arabic,0.754874651810585,300
S20,Hindi,0.297029702970297,300
S20,Bengali,0.46628407460545196,300
S20,Tamil,0.07674144037780402,300
S20,Spanish,0.5884892086330935,300
S20,Japanese,0.49645390070921985,300
S20,Arabic,0.7662337662337663,300
S21,Hindi,0.2754491017964072,300
S21,Bengali,0.5973053892215568,300
S21,Tamil,0.3350582147477361,300
S21,Spanish,0.5496062992125984,300
S21,Japanese,0.5822784810126582,300
S21,Arabic,0.7987421383647799,300
S22,Hindi,0.3190921228304406,300
S22,Bengali,0.5141643059490085,300
S22,Tamil,0.1345496009122007,300
S22,Spanish,0.5712383488681758,300
S22,Japanese,0.5567375886524822,300
S22,Arabic,0.8011869436201781,300
S23,Hindi,0.35724331926863573,300
S23,Bengali,0.6342780026990553,300
S23,Tamil,0.10476190476190476,300
S23,Spanish,0.6187150837988827,300
S23,Japanese,0.5607142857142857,300
S23,Arabic,0.7636363636363637,300
S24,Hindi,0.34829931972789113,300
S24,Bengali,0.6118598382749326,300
S24,Tamil,0.0970231532524807,300
S24,Spanish,0.6241610738255033,300
S24,Japanese,0.6720257234726688,300
S24,Arabic,0.7738853503184714,300
S25,Hindi,0.5371577574967406,300
S25,Bengali,0.5597014925373134,300
S25,Tamil,0.08919722497522299,300
S25,Spanish,0.6985854189336235,300
S25,Japanese,0.5761589403973509,300
S25,Arabic,0.8084507042253521,300
S26,Hindi,0.5849462365591398,300
S26,Bengali,0.48,300
S26,Tamil,0.4723926380368098,300
S26,Spanish,0.4676258992805755,300
S26,Japanese,0.5,300
S26,Arabic,0.6708860759493671,300
S27,Hindi,0.6547619047619048,300
S27,Bengali,0.7303370786516854,300
S27,Tamil,0.6309523809523809,300
S27,Spanish,0.5802469135802469,300
S27,Japanese,0.5769230769230769,300
S27,Arabic,0.5507246376811594,300
S28,Hindi,0.5066666666666667,300
S28,Bengali,0.7166666666666667,300
S28,Tamil,0.4883720930232558,300
S28,Spanish,0.4838709677419355,300
